University,University Category,Full Name,Admission,Department,Directory,Elearning,Endowment,Events,News,Repository,Research,Number of Index (Google),QS Ranking 2024
UM,Research,Universiti Malaya,238,8772,4329,4,570,1231,641,213289,29179,2660000,65
USM,Research,Universiti Sains Malaysia,1340,2940,165117,441,1496,3158,5571,7122,131119,599000,137
UPM,Research,Universiti Putra Malaysia,583,452,421592,6,11,1,36758,5462,1952,1040000,158
UKM,Research,Universiti Kebangsaan Malaysia,1045,5743,219240,162,28,395554,5993,11,35328,401000,159
UTM,Research,Universiti Teknologi Malaysia,4071,8308,227104,29,31,636,2600,12106,8146,674000,188
UUM,Focus,Universiti Utara Malaysia,326,388,141914,0,0,587,5245,1194,16205,421000,538
UITM,Comprehensive,Universiti Teknologi MARA,942,8208,446680,25,32921,12496,7954,1482,4229,513000,555
IIUM,Comprehensive,International Islamic University Malaysia,2929,1771,227727,6485,9,1122,5334,5618,9106,261000,711
UMP,Focus,Universiti Malaysia Pahang,8159,7180,151833,20,1946,1051,14711,27188,1315,115000,781
UPSI,Focus,Universiti Pendidikan Sultan Idris,1010,1140,3785,2284,0,10,7,99,4987,170000,951
UMS,Comprehensive,Universiti Malaysia Sabah,619,5420,413091,1555,582,21,483,41048,4915,175000,1001
UMT,Focus,Universiti Malaysia Terengganu,9556,2024,20473,745,91,12456,99,1216,761,63400,1001
UNIMAP,Focus,Universiti Malaysia Perlis,1158,1709,10506,0,53,85,2329,335880,889,253000,1001
UNIMAS,Comprehensive,Universiti Malaysia Sarawak,227,1576,257435,50,4637,28,2836,37104,144314,112000,1001
UTHM,Focus,Universiti Tun Hussein Onn Malaysia,1573,27035,99661,73,9,1351,2559,211,2145,207000,1001
USIM,Focus,Universiti Sains Islam Malaysia,1891,2023,744691,18,28,60,268,12024,5455,311000,1201
UTEM,Focus,Universiti Teknikal Malaysia Melaka,639,286172,42129,156,5,8141,21099,1080,8830,157000,1201
UMK,Focus,Universiti Malaysia Kelantan,1736,13450,309453,2,191,37,10164,23312,1061,424000,-
UNISZA,Focus,Universiti Sultan Zainal Abidin,171,513,1028071,723,4,11,120,26868,24319,190000,-
UPNM,Focus,Universiti Pertahanan Nasional Malaysia,337,11402,149457,5,2,41,2120,14,193,110000,-